PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=492 ttl=64 time=6.88 ms
64 bytes from 10.0.0.2: icmp_seq=494 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=495 ttl=64 time=9.73 ms
64 bytes from 10.0.0.2: icmp_seq=496 ttl=64 time=9.89 ms
64 bytes from 10.0.0.2: icmp_seq=497 ttl=64 time=9.27 ms
64 bytes from 10.0.0.2: icmp_seq=498 ttl=64 time=13.2 ms
64 bytes from 10.0.0.2: icmp_seq=502 ttl=64 time=9.89 ms
64 bytes from 10.0.0.2: icmp_seq=503 ttl=64 time=8.09 ms
64 bytes from 10.0.0.2: icmp_seq=504 ttl=64 time=21.1 ms
64 bytes from 10.0.0.2: icmp_seq=505 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=506 ttl=64 time=8.66 ms
64 bytes from 10.0.0.2: icmp_seq=507 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=508 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=509 ttl=64 time=9.24 ms
64 bytes from 10.0.0.2: icmp_seq=510 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=511 ttl=64 time=12.7 ms
64 bytes from 10.0.0.2: icmp_seq=512 ttl=64 time=12.7 ms
64 bytes from 10.0.0.2: icmp_seq=513 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=515 ttl=64 time=8.50 ms
64 bytes from 10.0.0.2: icmp_seq=518 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=519 ttl=64 time=8.94 ms
64 bytes from 10.0.0.2: icmp_seq=521 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=524 ttl=64 time=7.84 ms
64 bytes from 10.0.0.2: icmp_seq=525 ttl=64 time=7.17 ms
64 bytes from 10.0.0.2: icmp_seq=526 ttl=64 time=4.98 ms
64 bytes from 10.0.0.2: icmp_seq=527 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=528 ttl=64 time=9.09 ms
64 bytes from 10.0.0.2: icmp_seq=529 ttl=64 time=6.28 ms
64 bytes from 10.0.0.2: icmp_seq=530 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=531 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=532 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=535 ttl=64 time=9.57 ms
64 bytes from 10.0.0.2: icmp_seq=536 ttl=64 time=7.78 ms
64 bytes from 10.0.0.2: icmp_seq=538 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=539 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=540 ttl=64 time=7.68 ms
64 bytes from 10.0.0.2: icmp_seq=542 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=543 ttl=64 time=7.72 ms
64 bytes from 10.0.0.2: icmp_seq=545 ttl=64 time=9.09 ms
64 bytes from 10.0.0.2: icmp_seq=546 ttl=64 time=7.27 ms
64 bytes from 10.0.0.2: icmp_seq=548 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=549 ttl=64 time=8.12 ms
64 bytes from 10.0.0.2: icmp_seq=551 ttl=64 time=9.85 ms
64 bytes from 10.0.0.2: icmp_seq=552 ttl=64 time=9.53 ms
64 bytes from 10.0.0.2: icmp_seq=554 ttl=64 time=8.46 ms
64 bytes from 10.0.0.2: icmp_seq=555 ttl=64 time=8.41 ms
64 bytes from 10.0.0.2: icmp_seq=556 ttl=64 time=6.46 ms
64 bytes from 10.0.0.2: icmp_seq=558 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=559 ttl=64 time=9.33 ms
64 bytes from 10.0.0.2: icmp_seq=561 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=562 ttl=64 time=8.26 ms
64 bytes from 10.0.0.2: icmp_seq=564 ttl=64 time=19.4 ms
64 bytes from 10.0.0.2: icmp_seq=565 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=566 ttl=64 time=9.19 ms
64 bytes from 10.0.0.2: icmp_seq=567 ttl=64 time=8.35 ms
64 bytes from 10.0.0.2: icmp_seq=569 ttl=64 time=7.46 ms
64 bytes from 10.0.0.2: icmp_seq=570 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=572 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=575 ttl=64 time=9.78 ms
64 bytes from 10.0.0.2: icmp_seq=577 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=578 ttl=64 time=7.86 ms
64 bytes from 10.0.0.2: icmp_seq=580 ttl=64 time=9.73 ms
64 bytes from 10.0.0.2: icmp_seq=581 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=582 ttl=64 time=9.12 ms
64 bytes from 10.0.0.2: icmp_seq=583 ttl=64 time=8.34 ms
64 bytes from 10.0.0.2: icmp_seq=584 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=585 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=586 ttl=64 time=9.67 ms
64 bytes from 10.0.0.2: icmp_seq=587 ttl=64 time=4.56 ms
64 bytes from 10.0.0.2: icmp_seq=589 ttl=64 time=8.77 ms
64 bytes from 10.0.0.2: icmp_seq=590 ttl=64 time=16.9 ms
64 bytes from 10.0.0.2: icmp_seq=591 ttl=64 time=4.86 ms
64 bytes from 10.0.0.2: icmp_seq=592 ttl=64 time=0.285 ms
64 bytes from 10.0.0.2: icmp_seq=593 ttl=64 time=0.065 ms
64 bytes from 10.0.0.2: icmp_seq=594 ttl=64 time=0.066 ms
64 bytes from 10.0.0.2: icmp_seq=595 ttl=64 time=0.078 ms
64 bytes from 10.0.0.2: icmp_seq=597 ttl=64 time=9.89 ms
