PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=9.60 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=8.11 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=5.33 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=9.61 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=8.96 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=7.87 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=8.40 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=7.77 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=6.82 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=12.7 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=9.04 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=12.2 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=6.11 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=9.94 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=12.8 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=9.77 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=13.2 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=7.13 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=7.75 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=9.55 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=8.70 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=12.7 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=13.4 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=8.92 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=9.56 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=9.93 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=6.81 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=9.26 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=6.23 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=6.61 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=10.5 ms
